Unnamed: 0,Date,Adjustment,Afternoon with the baker,Alfajores,Argentina Night,Art Tray,Bacon,Baguette,Bakewell,Bare Popcorn,Basket,Bowl Nic Pitt,Bread,Bread Pudding,Brioche and salami,Brownie,Cake,Caramel bites,Cherry me Dried fruit,Chicken sand,Chicken Stew,Chimichurri Oil,Chocolates,Christmas common,Coffee,Coffee granules ,Coke,Cookies,Crepes,Crisps,Drinking chocolate spoons ,Duck egg,Dulce de Leche,Eggs,Ella's Kitchen Pouches,Empanadas,Extra Salami or Feta,Fairy Doors,Farm House,Focaccia,Frittata,Fudge,Gift voucher,Gingerbread syrup,Granola,Hack the stack,Half slice Monster ,Hearty & Seasonal,Honey,Hot chocolate,Jam,Jammie Dodgers,Juice,Keeping It Local,Kids biscuit,Lemon and coconut,Medialuna,Mighty Protein,Mineral water,Mortimer,Muesli,Muffin,My-5 Fruit Shoot,Nomad bag,Olum & polenta,Panatone,Pastry,Pick and Mix Bowls,Pintxos,Polenta,Postcard,Raspberry shortbread sandwich,Raw bars,Salad,Sandwich,Scandinavian,Scone,Siblings,Smoothies,Soup,Spanish Brunch,Spread,Tacos/Fajita,Tartine,Tea,The BART,The Nomad,Tiffin,Toast,Truffles,Tshirt,Valentine's card,Vegan Feast,Vegan mincepie,Victorian Sponge
19,2016-11-17,0,0,9,0,1,0,0,0,0,0,0,23,0,0,3,5,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,5,0,4,1,0,0,4,0,0,4,0,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,2,5,0,2,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
20,2016-11-18,0,0,6,0,2,0,0,0,0,0,0,27,0,0,4,1,0,0,0,0,0,0,0,43,0,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,8,0,2,0,0,3,1,0,0,0,10,0,0,0,0,0,0,0,4,2,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
21,2016-11-19,0,0,3,0,0,0,0,0,0,0,0,41,0,0,0,2,3,0,0,0,0,0,0,64,0,0,1,0,0,0,0,0,0,1,0,0,0,3,5,0,1,0,0,0,0,0,1,0,5,1,4,0,5,4,0,14,0,2,0,0,8,1,0,0,0,10,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0
22,2016-11-20,0,0,8,0,0,0,0,0,0,0,0,28,0,0,7,15,0,0,0,0,0,0,0,37,0,0,3,0,0,0,0,1,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,7,2,0,3,3,0,0,11,0,5,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,5,3,0,0,1,0,0,0,0,1,6,0,0,0,0,5,0,0,0,0,0
23,2016-11-21,0,0,2,0,0,0,0,0,0,0,0,10,0,0,3,3,0,0,0,0,0,0,0,30,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,2,4,0,0,5,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0
24,2016-11-22,0,0,1,0,0,0,0,0,0,0,0,12,0,0,5,8,0,0,0,0,0,0,0,25,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
25,2016-11-23,0,0,1,0,0,0,0,0,0,0,0,11,0,0,2,4,0,0,0,0,0,0,0,26,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,0,5,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0
26,2016-11-24,0,0,4,0,2,0,0,0,0,0,0,21,0,0,4,10,0,0,0,0,0,0,0,30,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,3,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0
27,2016-11-25,0,0,6,0,1,0,0,0,0,0,0,26,0,0,4,3,0,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,8,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0
28,2016-11-26,0,0,8,0,0,0,0,3,0,0,0,32,0,0,0,8,0,0,0,0,0,0,0,46,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,1,0,2,0,0,0,10,0,1,0,0,12,0,0,0,0,9,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,2,14,0,1,0,0,0,0,0,0,0,0
29,2016-11-27,0,0,4,0,2,0,0,6,0,0,0,14,0,0,7,5,0,0,0,0,0,0,0,47,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7,0,8,0,5,4,2,0,0,7,0,1,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0
30,2016-11-28,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,29,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0
31,2016-11-29,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,24,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,1,2,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0
32,2016-11-30,0,0,3,0,1,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,7,1,2,0,5,0,0,3,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0
33,2016-12-01,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,3,1,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0
34,2016-12-02,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,30,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,5,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,12,1,6,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
35,2016-12-03,0,0,3,0,0,0,0,0,0,0,0,36,0,0,0,12,0,0,0,0,0,0,0,45,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,8,4,0,4,0,0,0,10,0,1,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,8,4,16,0,1,0,0,0,0,1,11,0,0,0,1,1,0,0,0,0,0
36,2016-12-04,0,0,3,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,35,0,0,5,4,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,7,0,0,0,4,3,0,0,0,0,0
37,2016-12-05,0,0,6,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,41,0,1,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,7,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0
38,2016-12-06,0,0,4,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0,0,33,0,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,0,2,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0
39,2016-12-07,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,22,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,4,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,4,1,0,0,0,0,0
40,2016-12-08,0,0,1,0,0,0,0,0,0,0,0,10,0,0,1,8,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,1,0
41,2016-12-09,0,0,5,0,0,0,0,0,0,0,0,23,0,0,7,4,0,0,0,0,0,0,0,28,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,2,0,1,2,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,10,0,2,0,3,0,0,0,0,0,0
42,2016-12-10,0,0,0,0,2,0,0,0,0,0,0,28,0,0,2,6,0,0,0,0,0,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,4,3,1,5,0,0,0,5,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,6,9,0,0,0,0,0,0,0,18,0,0,0,2,2,0,0,0,2,0
43,2016-12-11,0,0,3,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,9,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,0
44,2016-12-12,0,0,1,0,0,0,0,2,0,0,0,23,0,0,0,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,4,1,0,0,0,5,0
45,2016-12-13,0,0,3,0,1,0,0,3,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,27,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,0,0,0,2,2,0,0,0,2,0
46,2016-12-14,0,0,4,0,1,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,3,3,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,4,1,0,0,0,2,0
47,2016-12-15,0,0,2,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,37,0,1,1,0,0,0,0,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,8,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4,0
48,2016-12-16,0,0,4,0,0,0,0,0,0,0,0,23,0,0,3,2,0,0,0,0,0,0,0,44,0,0,4,0,0,0,0,1,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,9,1,3,0,0,0,1,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,15,0,0,0,6,3,0,0,0,3,0
49,2016-12-17,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,5,0,0,0,0,0,0,0,28,0,3,4,0,1,0,0,1,0,0,0,0,0,6,2,3,5,0,0,0,0,0,0,0,5,5,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,1,2,8,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,6,0
50,2016-12-18,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,2,0,0,0,0,0,0,0,34,0,1,3,0,1,0,0,2,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,7,0,0,2,0,0,0,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,3,0
51,2016-12-19,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,5,0,0,0,0,0,0,0,42,0,2,6,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,2,0,5,1,0,3,0,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,1,0,1,0,0,0,0,0,16,0,0,0,2,3,0,0,0,0,0
52,2016-12-20,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,8,0,0,0,0,0,0,0,32,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0
53,2016-12-21,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,9,0,0,0,0,0,0,0,41,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5,1,0,1,0,0,0,4,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0
54,2016-12-22,0,0,0,0,1,0,0,0,1,0,0,21,0,0,5,10,0,0,0,0,0,0,0,23,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,3,0,3,0,0,0,4,0,1,0,0,4,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,1,0,1,1,0,0,0,0,0
55,2016-12-23,0,0,0,0,0,0,0,0,0,0,0,26,0,1,5,10,0,0,0,0,0,0,0,33,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,2,5,0,3,0,0,0,0,0,9,2,0,3,0,0,0,5,0,0,0,0,4,0,0,0,1,5,0,0,0,0,0,0,0,5,1,8,0,1,0,0,0,0,0,9,0,1,0,1,1,0,0,0,0,0
56,2016-12-24,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,8,0,0,0,0,0,0,0,38,0,4,5,0,1,0,0,0,0,0,0,0,0,5,5,2,3,0,1,0,0,0,0,0,14,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,7,3,7,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0
56,2016-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2016-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016-12-27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
58,2016-12-28,0,0,0,0,0,0,0,0,1,0,0,24,0,0,0,5,0,0,0,0,0,0,0,34,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
59,2016-12-29,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,8,0,0,0,0,0,0,0,43,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,9,1,3,4,0,0,1,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0
60,2016-12-30,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,0,0,0,0,0,29,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,7,0,4,1,0,0,1,5,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,9,0,1,0,2,0,0,0,0,2,0
61,2016-12-31,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,27,0,1,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,2,0
62,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
